Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms),Output Token Throughput (infer/sec)
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,8.0,8874.1,10364.1
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,8.0,1006.2,10262.0
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,4.4,915.5,5679.7
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,8.0,1986.0,10361.1
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,2.2,890.3,2892.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,8.0,4926.3,10367.0
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,1.1,986.4,1455.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_57,21:GPU,1,Yes,8.0,8871.4,10366.3
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,8.0,1006.5,10262.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,4.4,915.4,5675.8
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,8.0,1982.8,10362.9
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,2.2,890.9,2895.3
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,8.0,4922.8,10384.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,1.1,989.9,1458.1
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_71,26:GPU,1,Yes,8.0,7906.9,10365.6
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,8.0,1006.7,10303.4
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,4.4,915.4,5678.2
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,8.0,1980.1,10382.2
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,2.2,889.6,2893.6
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,8.0,4911.1,10390.8
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,1.1,991.3,1457.9
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_47,17:GPU,1,Yes,8.0,8852.4,10388.3
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,8.0,1007.2,10261.0
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,4.3,919.3,5662.3
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,8.0,1988.4,10344.9
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,2.2,892.7,2885.3
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,8.0,3965.6,10361.2
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,1.1,997.4,1453.2
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_138,51:GPU,1,Yes,8.0,7918.4,10354.9
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,8.0,1007.5,10268.6
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,4.3,917.6,5666.3
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,8.0,2001.3,10275.3
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,2.2,893.3,2883.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,8.0,3999.3,10274.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,1.1,990.0,1454.2
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_25,9:GPU,1,Yes,8.0,7980.7,10278.9
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,8.0,1007.4,10255.1
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,4.3,918.7,5664.2
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,8.0,1987.1,10340.6
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,2.2,892.5,2884.2
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,8.0,4924.8,10360.0
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,1.1,993.6,1453.5
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_59,22:GPU,1,Yes,8.0,8864.1,10377.6
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,7.9,1004.1,10266.2
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,4.4,916.2,5679.9
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,8.0,2975.9,10334.6
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,2.2,890.4,2892.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,8.0,4953.2,10331.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,1.1,989.7,1458.2
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_29,10:GPU,2,Yes,8.0,8895.7,10350.4
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,8.0,1007.5,10238.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,4.3,920.1,5660.5
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,8.0,1988.1,10342.0
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,2.2,894.9,2880.9
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,8.0,3963.7,10358.8
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,1.1,992.9,1451.9
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_126,47:GPU,1,Yes,8.0,7927.6,10346.9
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,8.0,1007.4,10264.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,4.4,916.8,5679.2
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,8.0,1986.5,10368.8
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,2.2,890.6,2894.2
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,8.0,3951.1,10388.6
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,1.1,991.4,1456.8
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_92,33:GPU,1,Yes,8.0,8855.3,10387.4
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,8.0,1007.1,10286.9
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,4.4,916.7,5678.1
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,8.0,1997.3,10300.6
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,2.2,890.1,2893.2
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,8.0,3981.3,10307.5
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,1.1,988.9,1457.9
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_23,8:GPU,1,Yes,8.0,7950.3,10305.5
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_120,45:GPU,1,Yes,8.0,1008.0,10275.8
